restaurant,dish,ingredients
bolero,KIWI-OSITY,"gin, kiwi, passion fruit, genepy, lime ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
bolero,MEYERS ARE BURNING,"​tequila, pomegranate, lemon, shoyu, thai chili ​ ​ ​ ​ ​ ​ ​ ​ ​ ​"
bolero,CRIMSON CLOVER,"gin, blackberry, coriander, lemon, egg"
bolero,‘DEM APPLES,"bourbon, calvados, sherry, vermouth bianco"
bolero,HELLO MOTO,"rice whiskey, jujube, sesame oil"
bolero,RUM & CUKE,"rum, cucumber, basil, pandan, lime, soda"
bolero,THE YUZUAL,"mezcal, pineapple, yuzu, dill"
bolero,PINK + WHITE​ (SOLD OUT),"vodka, grapefruit, white peppercorn, coriander, aperitivo"
bolero,Stillwater Artisanal - Dry Hopped Gose,
bolero,Saigon - Lager,
bolero,Sloop Brewing - New England Hazy IPA,
bolero,Dutchess Ales - Pale Ale,
bolero,Kills Boro - Hazy Pale Ale,
bolero,Drowned Lands Brewery - New England Hazy IPA,
bolero,Oxbow Brewing Co. - Dry-Hopped Pale Lager,
bolero,THE BOLERO EGG CHALLENGE,"beer, rice whiskey, egg, coriander, salt, pepper"
bolero,RƯỢU NẾP // RICE WHISKEY,
bolero,PHỞ-BACK,
bolero,NẤM THUỶ SAM // KOMBUCHA,"starfruit, asparagus"
bolero,NẤM THUỶ SAM // KOMBUCHA,"plum, baking spices"
bolero,TRÀ ĐÁ // VIETNAMESE ICE TEA,"vietnamese white tea, rock sugar"
bolero,ĐẸP PHƯƠNG HƯỚNG // ORIENTAL BEAUTY,
bolero,CỔ ĐẠI ĐỎ // ANCIENT RED,
bolero,CAO NÚI XANH (HIGH MOUNTAIN GREEN),
bolero,CÀ PHÊ ĐÁ (VIETNAMESE COLD BREW),"coffee, condensed milk"
bolero,​CÀ PHÊ PHIN ​(HOT PHIN FILTER DRIP COFFEE),"coffee, condensed milk"
bolero,CÀ PHÊ TRỨNG (VIETNAMESE EGG COFFEE),"egg, condensed milk, coffee"
bolero,BÁNH BÒ NƯỚNG​ // PANDAN HONEYCOMB CAKE,"pandan, honeycomb, jam, almond butter"
bolero,CHUỐI NẾP NƯỚNG​ // GRILLED BANANA,"jackfruit, sticky rice, coconut milk, coconut flakes, pistachio"
bolero,CÀ PHÊ TRỨNG // VIETNAMESE EGG COFFEE (THE VIETNAMESE AFFOGATO),"egg, milk, coffee, cassia, cinnamon sugar, rice whiskey"
bolero,MAROU CHOCOLAT // VIETNAMESE CHOCOLATE BAR,"coffee, popped rice"
bolero,CÀ PHÊ ĐÁ // VIETNAMESE COLD BREW,"coffee, condensed milk"
bolero,​CÀ PHÊ PHIN ​(HOT PHIN FILTER DRIP COFFEE),"coffee, condensed milk"
bolero,ĐẸP PHƯƠNG HƯỚNG // ORIENTAL BEAUTY,
bolero,CỔ ĐẠI ĐỎ (ANCIENT RED),
bolero,CAO NÚI XANH (HIGH MOUNTAIN GREEN),
bolero,BÁNH NẬM HUẾ (SHRIMP TAMALE),"shrimp, rice flour, banana leaf, pork, fish sauce, chili"
bolero,BÁNH NẬM CHAY (MUSHROOM TAMALE),"mushroom, tamale, rice flour, banana leaf, leek coulis, dulse, lemongrass, chili oil"
bolero,BÁNH MÌ TÔM CHIÊN (FRIED SHRIMP TOAST POINTS),"shrimp, black sesame, fennel, sourdough"
bolero,XÔI CHIÊN (FRIED STICKY RICE ARANCINI),"mushroom, cheese"
bolero,“BÁNH MÌ (OPEN FACED VIETNAMESE SANDWICH),"chicken liver pate, mortadella, pork, sriracha mayo, pepper, carrots, daikon"
bolero,BÁNH BÈO CON SÒ SỐNG (SCALLOP CRUDO),"shrimp, paprika, pork, scallion, dulse, fish sauce"
bolero,LÁ ĐẬU HÒA LAN XÀO TỎI (SAUTEED PEA SHOOTS),"garlic, seaweed, chili, fish sauce"
bolero,CÁNH GÀ CHIÊN (TWICE-FRIED CAJUN WINGS),"old bay, fish salt, koji-ranch, carrots"
bolero,BÁNH XÈO (VIETNAMESE CRISPY CREPE),"duck, arugula, leeks, shrimp"
bolero,CON NGHÊU HẤP (LITTLENECK CLAMS & LEMONGRASS),"clams, lemongrass, beer, scallion oil, garlic, egg, coriander"
bolero,GỎI ĐU ĐỦ NẬM (PAPAYA SALAD WITH TOASTED SUNFLOWER SEED PESTO),"mushrooms, romanesco, egg, chili, coriander, thai basil"
bolero,NEM CUA BỂ CHIÊN (FRIED​ IMPERIAL CRAB PARCELS),"pork, mushrooms, jicama, red leaf, fish mint, purple shiso"
bolero,BÚN BÒ HUẾ CHAY (SPICY LEMONGRASS MUSHROOM NOODLE SOUP),"mushrooms, lemongrass, chili paste, culantro, scallions, viet coriander, thai chili, thai basil"
bolero,PHỞ BÒ SÀI GÒN (SAIGON BEEF PHO),"wagyu beef, beef shin, culantro, thai basil, bird's eye chili, lime, ​tendon"
bolero,CÀ RI BẮC HÀ (ELEPHANT EAR STALK CURRY),"elephant ear, rice, tofu, taro, chili, lemongrass, cilantro, thai basil,"
bolero,BÚN THỊT NƯỚNG (GRILLED PORK COLLAR VERMICELLI BOWL),"fish sauce, lemongrass, vermicelli, purple shiso, mint, lettuce, pork, rice paper, pickled daikon & carrots, fish sauce vinaigrette"
bolero,GỎI CHẢ CÁ LÃ VỌNG (HANOI SKATE SALAD),"turmeric, skate, fennel, radicchio, mizune, cantaloupe, carrots, sesame cracker, fish sauce"
bolero,BÒ LÚC LẮC (SHAKEN BEEF),"steak, taro, sriracha aioli, arugula, radicchio, beef tendon"
