restaurant,dish,ingredients
di-an-di,Cha Gio,"rice paper, pork, shrimp, water chestnut"
di-an-di,Cha Gio Chay (V),"rice paper, tofu, shiitake"
di-an-di,Goi Ga,"cabbage, chicken, rau ram, peanuts, nuoc cham"
di-an-di,Banh Mi Thit Nuong,"lemongrass, pork, carrot, cucumber, cilantro, shallot, aioli"
di-an-di,Banh Mi Ga,"lemongrass, chicken, carrot, cucumber, cilantro, shallot, aioli"
di-an-di,Banh Mi Dau Hu (V),"tofu, tuong ot, hoison, carrot, cucumber, cilantro, aioli"
di-an-di,Banh Mi Thit Nguoi,"viet salami, viet sausage, pork, carrot, cucumber, cilantro, shallot, aioli"
di-an-di,Banh Mi Cha Ca,"galangal, turmeric, hake, galangal, aioli, onion, dill, scallion"
di-an-di,Pho Thin,"pho, brisket, alliums, noodle"
di-an-di,Pho Thin Chay(V),"pho, mushroom, alliums, noodle"
di-an-di,Pho Ga,"chicken broth, chicken, noodle"
di-an-di,Bun Thit Nuong,"lemongrass, pork, herbs, rice noodle, fish sauce"
di-an-di,Bun Cha Gio,"pork, shrimp, water chestnut, herbs, rice noodle, fish sauce"
di-an-di,Bun Cha Gio Chay (V),"tofu, shiitake, herbs, rice noodle, fish sauce"
di-an-di,Cha Gio (Crispy spring rolls),"rice paper, pork, shrimp, mushrooms, basil, lettuce"
di-an-di,Cha Gio Chay (CRISPY VEGETABLE SPRING ROLLS),"rice paper, carrots, tofu, mushrooms, basil, lettuce"
di-an-di,Cuon Diép (BABY MUSTARD GREEN ROLL),"enoki mushrooms, vermicelli, pickles, herbs, sesame, coconut milk, sesame seeds"
di-an-di,"Hau Nuong Pho Mai, (Grilled oyster)","oyster, laughing cow sace"
di-an-di,Dé Nuong Xa (SIZZLING LEMONGRASS LAMB BELLY),"five-spice, okra, red onion, tofu, saté sauce"
di-an-di,Nam Cuon (SIZZLING FIVE-SPICE MUSHROOMS),"okra, red onion, bell peppers, cheese, tofu, sate sauce"
di-an-di,Cha Ca La Vong (SMOKED TURMERIC HAKE),"scallion, dill, noodles, shallots, garlic, peanuts, nuoc cham"
di-an-di,Banh Trang Tron (RICE PAPER SALAD),"quail eggs, papaya, beef jerky, shrimp, shallots, peanuts, rau rim, chili, tamarind"
di-an-di,GOI GA (CHICKEN & CABBAGE SALAD),"rau rim, papaya, onion, shallots, peanuts, nuoc cham"
di-an-di,CA RI CHAY (VEGAN CURRY),"tofu, breadfruit, carrots, coconut curry, banh mi"
di-an-di,Banh Trang Nuong “Ops” (GrillED RICE PAPER WITH ALLIUMS),"rice paper, egg, onions, shallots, chili, laughing cow sauce"
di-an-di,Banh Trang Nuong Nam (GRILLED RICE PaPER WITH MUSHROONS),"rice paper, egg, mushrooms, shitake, rau ram, garlic, black garlic, aioli"
di-an-di,PhO Thin HA NOI (BEEF PHO HANOI),"noodles, brisket, egg, scallions, garlic, thai chili"
di-an-di,PhO Chay Ha NOi (VEGETARIAN PHO HANOI),"noodles, mushrooms, egg, scallions, garlic, thai chili"
di-an-di,Pho Ga (CHICKEN PHO),"chicken broth, chicken, noodles, scallions, rau ram, shallots, ginger, scallion"
di-an-di,BUN Thit NUOng (LEMONGRASS PORK BUN BOWL),"noodles, lemongrass, pork, lettuce, herbs, peanuts, shallots, nuoc cham"
di-an-di,Wok Beef,Beef
di-an-di,Wok Mushrooms,Mushrooms
di-an-di,Poached chicken,Chicken
di-an-di,Egg Yolk,Egg
di-an-di,Extra Noodles,Noodles
di-an-di,Side Broth,Broth
di-an-di,Tuong ot (House-made chili sauce),Chili
di-an-di,Tuong Den (House-made hoisin sauce),Hoisin
di-an-di,Herb Basket,Herbs
di-an-di,Layover Verde,"mezcal, cucumber, agave, lime, palo santo"
di-an-di,Passionate from 6-Ft Away,"gin, passionfruit, lemon, cocchi americano"
di-an-di,Arm Candy,"gin, calamansi, thai basil, egg white"
di-an-di,Mango Cart Mama,"scotch, mango, thai chili, lime salt"
di-an-di,"Relief, Recovery, Reform","tequila blanco, turmeric, dill, buttermilk, fish sauce, tuong ot, lemon"
di-an-di,Saigon Xua,"bourbon, spice syrup, orange bitters, lemon"
di-an-di,Ca Phe Trung Martini,"vodka, coffee, egg, condensed milk, cinnamon"
di-an-di,MMMBap (Hot Chocolate),"corn liqueur, ancho, ube, whipped cream"
di-an-di,Artichoke,"vodka, gin, rum, teauil, rye, angostura bitters"
di-an-di,Tamarind,"cynar, grenadine, lemon, tamarind, pecan, orgeat"
di-an-di,San Junipero,"jasmine tea, juniper, passion fruit, egg white, kafir lime"
di-an-di,Ooo Bae Egg Cream,"almond orgeat, ube, egg white, seltzer, nutmeg"
