restaurant,dish,ingredients
falansai,‘DAC BIET’ DINNER,
falansai,SURF’S UP,"oysters, clams, shrimp, chef’s crudo"
falansai,WIDOWS HOLE OYSTERS,"kohlrabi mignonette, oysters"
falansai,CEVICHE MIXTA,"tilefish, gulf shrimp, fermented chili, avocado, sobre masa tostadas"
falansai,TUNA CRUNCH NO. 1,"guacamole, lemon, vermicelli, tuna"
falansai,PICKLE PLATE,pickles
falansai,DAD’S EGG ROLLS,"pork, mushrooms, lettuce, fish sauce"
falansai,CONFIT DUCK NECKS,duck
falansai,LEMONGRASS LAMB SKEWERS,"vermicelli, egg, lemongrass, lamb"
falansai,CHARRED CARAFLEX CABBAGE,"pho broth, squash, egg, cabbage"
falansai,SPICY GREEN CURRY,"tofu, mushroom, rice, curry"
falansai,DAD’S FRIED RICE,"vietnamese mortadella, chinese sausage, egg, onion, rice"
falansai,BLAZED & GLAZED,"pork shoulder, salsa verde, herbs, egg"
falansai,ROASTED LAMB RIBS,"pea tendrils, tamarind, lamb"
falansai,GRILLED WHOLE MACKEREL,"red curry, cabbage, mackerel"
falansai,THE TRIPLE THREAT,"duck, pork sausage, smoked fish, fried noodles"
falansai,"EBBS BREWING [Queens, NY] 12oz can",
falansai,"TALEA BEER CO.[Williamsburg, NY] 16oz cans",
falansai,"TALEA BEER CO.[Williamsburg, NY] 16oz cans",
falansai,"THREES BREWING [Gowanus, NY] 16oz can",
falansai,"GRIMM ARTISANAL ALES [Bushwick, NY] 16oz can",
falansai,FALANSAI ICED COFFEE,
falansai,FALANSAI SODA,"pineapple, soda"
falansai,FALANSAI SODA,"lemon, soda"
falansai,BKE KOMBUCHA,"mango, kombucha"
falansai,SPARE TONIC Probiotic Sparkling Tonic,"blueberry, ginger, tonic"
