restaurant,dish,ingredients
thai-so'n,Summer Roll Shrimp Vegetable,"Shrimp, Vegetable, Rice paper"
thai-so'n,Shredded Pork,"Pork,vegetable, rice paper"
thai-so'n,Shrimp With Shredded Green Papaya And Peanuts,"Shrimp, Green Papaya, Peanuts"
thai-so'n,"Shrimp, Beef Or Chicken","Shrimp, Beef, Chicken, vegetable, peanuts"
thai-so'n,Special Shrimp And Pork Spring Roll,"Shrimp, Pork"
thai-so'n,Vietnamese Spring Roll,"Pork, vegetable"
thai-so'n,Vegetarian Spring Roll,
thai-so'n,Crispy Squid - Calamari,Squid
thai-so'n,Green Mussel With Curry Sauce,"Mussel, Curry"
thai-so'n,Fried Crab Marinated In Salt And Pepper,Crab
thai-so'n,Fried Butterfly Shrimp,"Shrimp, sweet and sour sauce"
thai-so'n,Frog Legs Fried,"Frog Legs, butter"
thai-so'n,Hot And Sour Shrimp Vegetable Soup - Vn Style,"Shrimp, Vegetable"
thai-so'n,Hot And Sour Fish Vegetable Soup - Vn Style,"Fish, Vegetable"
thai-so'n,Hot And Sour Fish Vegetable Soup - Vn Style,"Fish, Vegetable"
thai-so'n,Hot And Sour Chicken Vegetable Soup - Vn Style,"Chicken, Vegetable"
thai-so'n,Hot And Sour Chicken Vegetable Soup - Vn Style,"Chicken, Vegetable"
thai-so'n,Home Style Vegetable With Bean Curd Soup,"Vegetable, Bean Curd"
thai-so'n,Home Style Vegetable With Bean Curd Soup,"Vegetable, Bean Curd"
thai-so'n,Seafood With Vegetable Soup,"Seafood,Vegetable,Soup"
thai-so'n,Seafood With Vegetable Soup,"Seafood,Vegetable,Soup"
thai-so'n,Combination Extra Big Bowl,"Rice noodle, beef"
thai-so'n,Combination Special Big Bowl With Beef Ball,Beef
thai-so'n,Combination Special Big Bowl,"Rice noodles, beef"
thai-so'n,Combination Rice Noodle Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodle Beef Soup,"Rice noodles, beef"
thai-so'n,Combination Rice Noodles Beef Soup,"Rice noodles, beef"
