restaurant,dish,ingredients
falansai,‘DAC BIET’ DINNER,
falansai,SURF’S UP,"oysters, clams, shrimp, chef’s crudo"
falansai,WIDOWS HOLE OYSTERS,"kohlrabi mignonette, oysters"
falansai,CEVICHE MIXTA,"tilefish, gulf shrimp, fermented chili, avocado, sobre masa tostadas"
falansai,TUNA CRUNCH NO. 1,"guacamole, lemon, vermicelli, tuna"
falansai,PICKLE PLATE,pickles
falansai,DAD’S EGG ROLLS,"pork, mushrooms, lettuce, fish sauce"
falansai,CONFIT DUCK NECKS,duck
falansai,LEMONGRASS LAMB SKEWERS,"vermicelli, egg, lemongrass, lamb"
falansai,CHARRED CARAFLEX CABBAGE,"pho broth, squash, egg, cabbage"
falansai,SPICY GREEN CURRY,"tofu, mushroom, rice, curry"
falansai,DAD’S FRIED RICE,"vietnamese mortadella, chinese sausage, egg, onion, rice"
falansai,BLAZED & GLAZED,"pork shoulder, salsa verde, herbs, egg"
falansai,ROASTED LAMB RIBS,"pea tendrils, tamarind, lamb"
falansai,GRILLED WHOLE MACKEREL,"red curry, cabbage, mackerel"
falansai,THE TRIPLE THREAT,"duck, pork sausage, smoked fish, fried noodles"
falansai,"EBBS BREWING [Queens, NY] 12oz can",
falansai,"TALEA BEER CO.[Williamsburg, NY] 16oz cans",
falansai,"TALEA BEER CO.[Williamsburg, NY] 16oz cans",
falansai,"THREES BREWING [Gowanus, NY] 16oz can",
falansai,"GRIMM ARTISANAL ALES [Bushwick, NY] 16oz can",
falansai,FALANSAI ICED COFFEE,
falansai,FALANSAI SODA,"pineapple, soda"
falansai,FALANSAI SODA,"lemon, soda"
falansai,BKE KOMBUCHA,"mango, kombucha"
falansai,SPARE TONIC Probiotic Sparkling Tonic,"blueberry, ginger, tonic"
thai-so'n,Summer Roll Shrimp Vegetable,"Shrimp, Vegetable, Rice paper"
thai-so'n,Shredded Pork,"Pork,vegetable, rice paper"
thai-so'n,Shrimp With Shredded Green Papaya And Peanuts,"Shrimp, Green Papaya, Peanuts"
thai-so'n,"Shrimp, Beef Or Chicken","Shrimp, Beef, Chicken, vegetable, peanuts"
thai-so'n,Special Shrimp And Pork Spring Roll,"Shrimp, Pork"
thai-so'n,Vietnamese Spring Roll,"Pork, vegetable"
thai-so'n,Vegetarian Spring Roll,
thai-so'n,Crispy Squid - Calamari,Squid
thai-so'n,Green Mussel With Curry Sauce,"Mussel, Curry"
thai-so'n,Fried Crab Marinated In Salt And Pepper,Crab
thai-so'n,Fried Butterfly Shrimp,"Shrimp, sweet and sour sauce"
thai-so'n,Frog Legs Fried,"Frog Legs, butter"
thai-so'n,Hot And Sour Shrimp Vegetable Soup - Vn Style,"Shrimp, Vegetable"
thai-so'n,Hot And Sour Fish Vegetable Soup - Vn Style,"Fish, Vegetable"
thai-so'n,Hot And Sour Fish Vegetable Soup - Vn Style,"Fish, Vegetable"
thai-so'n,Hot And Sour Chicken Vegetable Soup - Vn Style,"Chicken, Vegetable"
thai-so'n,Hot And Sour Chicken Vegetable Soup - Vn Style,"Chicken, Vegetable"
thai-so'n,Home Style Vegetable With Bean Curd Soup,"Vegetable, Bean Curd"
