full,name,num
Afghan(1),Afghan,1
African(3),African,3
Alpine(19),Alpine,19
Alsatian(24),Alsatian,24
American(210),American,210
AmericanContemporary(36),AmericanContemporary,36
Anago/SaltwaterEel(1),Anago/SaltwaterEel,1
Andalusian(11),Andalusian,11
Apulian(14),Apulian,14
Argentinian(8),Argentinian,8
Armenian(1),Armenian,1
Asian(120),Asian,120
AsianandWestern(3),AsianandWestern,3
AsianContemporary(21),AsianContemporary,21
AsianInfluences(35),AsianInfluences,35
Asturian(5),Asturian,5
Austrian(30),Austrian,30
Bakery(5),Bakery,5
Balkan(3),Balkan,3
Bangladeshi(1),Bangladeshi,1
Barbecue(50),Barbecue,50
Basque(25),Basque,25
Bavarian(4),Bavarian,4
BeefSpecialities(6),BeefSpecialities,6
BeijingCuisine(22),BeijingCuisine,22
Belgian(29),Belgian,29
Brazilian(19),Brazilian,19
Breton(5),Breton,5
BritishContemporary(28),BritishContemporary,28
Bulgogi(3),Bulgogi,3
Burgundian(2),Burgundian,2
Burmese(5),Burmese,5
Cajun(2),Cajun,2
Calabrian(10),Calabrian,10
Californian(114),Californian,114
Campanian(18),Campanian,18
Cantonese(208),Cantonese,208
CantoneseRoastMeats(6),CantoneseRoastMeats,6
Caribbean(3),Caribbean,3
Castilian(2),Castilian,2
Catalan(22),Catalan,22
CentralAsian(7),CentralAsian,7
Chankonabe(2),Chankonabe,2
ChaoZhou(9),ChaoZhou,9
"Cheese,FondueandRaclette(3)","Cheese,FondueandRaclette",3
ChickenSpecialities(6),ChickenSpecialities,6
Chinese(194),Chinese,194
ChineseContemporary(16),ChineseContemporary,16
ChiuChow(3),ChiuChow,3
Chueotang(1),Chueotang,1
ClassicCuisine(705),ClassicCuisine,705
ClassicFrench(202),ClassicFrench,202
Colombian(3),Colombian,3
Congee(1),Congee,1
Contemporary(872),Contemporary,872
Corsican(7),Corsican,7
Countrycooking(512),Countrycooking,512
CrabSpecialities(1),CrabSpecialities,1
Creative(1158),Creative,1158
CreativeBritish(9),CreativeBritish,9
CreativeFrench(66),CreativeFrench,66
Creole(9),Creole,9
Croatian(3),Croatian,3
Cuban(11),Cuban,11
CuisinefromAbruzzo(16),CuisinefromAbruzzo,16
CuisinefromAlentejo(2),CuisinefromAlentejo,2
