name,address,price,desc,award,url
Restaurant BT,"2507 S. Macdill Ave., Tampa, 33629, USA",92 USD,"
Both intimate and serene, this romantic retreat is restaurateur and Chef BT Nguyen's flagship. Its motto ""eat local, think global"" accurately captures both her genre-defying, eclectic cuisine as well as her dedication to high quality, local ingredients. Although the presentation may lean a bit fussy and old-fashioned (think tomato roses and other such twee garnishes), there's plenty of substance behind the fluff. This is cooking that's assiduously seasoned and bursting with flavor.Many of the dishes draw upon the chef's Vietnamese heritage, seen in the telltale use of bright, aromatic flavors, but items like a sophisticated vichyssoise and Basque-inspired pink prawns are a testament to her classic French training and time spent abroad.
",None,https://www.restaurantbt.com/
Z Asian,"1830 E. Colonial Dr., Orlando, 32803, USA",50 USD,"
Simple on the outside, this casual gem is beloved for its distinctively bold dishes and thoughtful design. As you enter, you'll notice their name emblazoned on a black wall. Other stylish details include hanging lanterns, ceiling fans and artwork throughout. The aura is Southeast Asian, not unlike the focused Vietnamese cooking.Dishes are flavorful, bursting with nuance and balance. Behold the simple yet sublime dia nho like sautéed bok choy with crispy garlic; and bánh xèo, fried crêpe with shrimp, thinly sliced pork and a tangy fish sauce. Phở tái brings nostalgia to the forefront with that classic beef broth, afloat with rice noodles, eye of round steak and scallions. Donning a host of aromatics (bean sprouts, lime and jalapeño), it is a riot of flavor. 
","Bib Gourmand: good quality, good value cooking",https://eatzasian.com/
Phuc Yea,"7100 Biscayne Blvd., Miami, 33138, USA",125 USD,"
There is nothing subtle about Chef Cesar Zapata and Ani Meinhold’s raucous Vietnamese mash-up in the MiMo district. A concrete compound wrapped in glowing red lanterns, the restaurant is practically a club with its sultry lighting, cavernous interior and full-time DJ. Yet, none of it gets in the way of the food, which is boldly seasoned and generously portioned. Stacks of crispy imperial rolls wrapped with mint and tangles of garlic-butter egg noodles aggressively charred on a wok are solid starting points. Everything is meant to be shared, especially the pho, which arrives in a cauldron packed with herbs, rice noodles and a meltingly tender slab of hickory-smoked short rib.All the while, a nearby table might launch into song. You are welcome to join the fun. 
","Bib Gourmand: good quality, good value cooking",https://www.phucyea.com/
Le Nénuphar,"chaussée de Roodebeek 76, Woluwe-Saint-Lambert, 1200, Belgium",55 EUR,"
If you fancy lunch or dinner at the Nénuphar this weekend, make sure you book. This spacious, tastefully appointed restaurant is highly popular. The locals of Brussels have been flocking here to sample traditional Vietnamese recipes for decades. The extensive menu still sports these classics, together with subtle new dishes whisked up by the younger generation.
",None,https://www.lenenuphar.be/
Bún,"Volkstraat 43, Antwerpen, 2000, Belgium",29-63 EUR,"
Bún is hip and casual, which suits its trendy crowd of regulars. The refined Vietnamese fare is enticing, stylish and packed with flavour. The chef works with local produce, seeks to satisfy current tastes and regular renews his appetising menu. Its sibling, Little Bún (Jorispoort 22), offers delicious Vietnamese street food.
","Bib Gourmand: good quality, good value cooking",https://www.bunantwerp.be/
Falansai,"112 Harrison Pl., New York, 11237, USA",25-50 USD,"
Occupying the same corner location since 2013, this Vietnamese wonder has reemerged thanks to the direction of Chef Eric Tran. Don't be fooled by the industrial surrounds though, as it is an edgy destination for finer dining. Even the space feels updated and stylish, with dark wood-plank floors, white walls and a counter set aglow by woven rattan ceiling pendants.Ambitious dishes with classic inspiration are the order of the day with winners like confit duck neck, rice paper handrolls and house-made pork-lemongrass sausages. For a more leisurely dining experience, consider one of the chef's affordable tasting menus, which yield inventions such as corn congee with shrimp toast or noodle stir-fry with five-spice beef.
",None,https://www.falansai.com/
Hello VietNam,"92 Chenggong Road, Central District, Taichung, Taipei & Taichung",300 TWD,"
This cheerful restaurant is run by its Vietnamese owner. The menu tips towards the Northern end of her home country, and cilantro is used sparingly to cater to local taste. The speciality bun dau mam tom consists of rice noodle squares, pork intestines, pork feet, blood sausage, deep-fried tofu and leafy greens, alongside fermented shrimp paste, or a fish sauce dip. Nem ran (fried spring rolls) and pork skewers are also worth trying.
",None,None
Doi Moi,"1800 14th St. NW, Washington, 20009, USA",50-75  USD,"
Tucked into a buzzing corner, this sunny little retreat packs a serious flavor punch. Guests may grab a seat at the counter facing the open kitchen, or in one of two dining areas decked out with sleek tables and blonde wood chairs. Weather permitting, there’s outdoor seating as well.Chef Wade Hoo Fatt is the man behind this menu, focused on the bright and healthy flavors of Vietnam's markets. Imagine the likes of spring rolls with pork and shrimp, or chilled rice noodles with pickled vegetables and a sweet-and-sour broth. Vegetarians will appreciate the shredded mango tossed with carrots, endive and a tamarind dressing; while fruit juices and smoothies are sure to sate many a sweet tooth.
",None,https://www.doimoidc.com/
Moon Rabbit,"801 Wharf St. SW, Washington, 20024, USA",56-74 USD,"
Set inside the InterContinental Hotel with floor-to-ceiling windows and expansive views of the Wharf, this handsome restaurant offers a modern rendition of Vietnamese cooking. Chef Kevin Tien draws on personal inspiration to create eye-catching, sophisticated plates like scallop crudo with tom kha and pickled patty pan squash, or skewered grilled prawns with Thai basil and garlic butter. Portions are designed for sharing, especially the show-stopping lemongrass pork blade, which could feed an army thanks to a forest of lettuce wraps, fresh herbs, crispy scallion pancakes and house-made sauces.Sweets are a particular strength here, balancing artistry with flavor. A recent dessert of coconut mousse with caramelized rice made for a captivating finale.
",None,https://www.moonrabbitdc.com/
Nhà Hàng Vietnam,"1032 W. Argyle St., Chicago, 60640, USA",30 USD,"
It’s a charming irony that an establishment whose name translates as “Vietnamese Restaurant” manages to stand out in a neighborhood that's packed to the brim with competing options. As soon as you enter, there’s a sense of easy hospitality—akin to that of being welcomed to a relative’s dining table—which is matched rather perfectly by their careful, homespun cooking.Though this menu is voluminous, standbys like spring rolls and pho are a cut above, and those nostalgic for a taste of home food (or eager to try something new) will find themselves especially rewarded. Less common dishes, like the ca kho to (caramelized catfish cooked in a clay pot) and goi vit (duck salad with herbs, peanuts, and fried shallots), have no shortage of devotees.
",None,None
Sochi,"1358 W. Belmont Ave., Chicago, 60657, USA",50 USD,"
Husband and wife Son Do and Chinh Pham tell stories of their childhood in Saigon at this gem on bustling Belmont. The moniker is a marriage of their names, which not only enhances the charm factor but also makes total sense considering they were high school sweethearts. A set of glass doors marks the entry to this bright, modern space, fitted with a leather banquette and lush, colorful planters.The menu is modern Vietnamese with a focus on ingredient sourcing. Dishes display immense depth, so come hungry to sample the duck salad with banana blossoms; or pho, that national treasure, with bone broth, flat rice noodles, Wagyu short rib and aromatics aplenty. Desserts may change, but if the cassava cake or coffee flan are on offer, jump on it. 
","Bib Gourmand: good quality, good value cooking",https://www.sochikitchen.com/
